Cycle:           5, Write Miss, Address: 00000000, Write Data: 00000000
Cycle:          18, Write Hit , Address: 00000004, Write Data: 00000111
Cycle:          20, Write Hit , Address: 00000008, Write Data: 00000222
Cycle:          22, Write Hit , Address: 0000000c, Write Data: 00000333
Cycle:          24, Write Hit , Address: 00000010, Write Data: 00000444
Cycle:          26, Write Hit , Address: 00000014, Write Data: 00000555
Cycle:          28, Write Hit , Address: 00000018, Write Data: 00000666
Cycle:          30, Write Hit , Address: 0000001c, Write Data: 00000777
Cycle:          32, Write Miss, Address: 00000020, Write Data: 00000788
Cycle:          46, Write Hit , Address: 00000024, Write Data: 00000799
Cycle:          48, Write Hit , Address: 00000028, Write Data: 000007aa
Cycle:          50, Write Hit , Address: 0000002c, Write Data: 000007bb
Cycle:          52, Write Hit , Address: 00000030, Write Data: 000007cc
Cycle:          54, Write Hit , Address: 00000034, Write Data: 000007dd
Cycle:          56, Write Hit , Address: 00000038, Write Data: 000007ee
Cycle:          58, Write Hit , Address: 0000003c, Write Data: 000007ff
Cycle:          60, Write Miss, Address: 00000400, Write Data: 00000123 (Write Back!)
Cycle:          84, Write Hit , Address: 00000404, Write Data: 00000234
Cycle:          86, Write Hit , Address: 00000408, Write Data: 00000345
Cycle:          88, Write Hit , Address: 0000040c, Write Data: 00000456
Cycle:          90, Write Hit , Address: 00000410, Write Data: 00000567
Cycle:          92, Write Hit , Address: 00000414, Write Data: 00000678
Cycle:          94, Write Hit , Address: 00000418, Write Data: 00000789
Cycle:          96, Write Hit , Address: 0000041c, Write Data: 00000790
Cycle:          97, Read Miss , Address: 00000000, Read Data : 00000000 (Write Back!)
Cycle:         119, Read Hit  , Address: 00000004, Read Data : 00000111
Cycle:         120, Read Hit  , Address: 00000008, Read Data : 00000222
Cycle:         121, Read Hit  , Address: 0000000c, Read Data : 00000333
Cycle:         122, Read Hit  , Address: 00000010, Read Data : 00000444
Cycle:         123, Read Hit  , Address: 00000014, Read Data : 00000555
Cycle:         124, Read Hit  , Address: 00000018, Read Data : 00000666
Cycle:         125, Read Hit  , Address: 0000001c, Read Data : 00000777
Cycle:         126, Read Hit  , Address: 00000020, Read Data : 00000788
Cycle:         127, Read Hit  , Address: 00000024, Read Data : 00000799
Cycle:         128, Read Hit  , Address: 00000028, Read Data : 000007aa
Cycle:         129, Read Hit  , Address: 0000002c, Read Data : 000007bb
Cycle:         130, Read Hit  , Address: 00000030, Read Data : 000007cc
Cycle:         131, Read Hit  , Address: 00000034, Read Data : 000007dd
Cycle:         132, Read Hit  , Address: 00000038, Read Data : 000007ee
Cycle:         133, Read Hit  , Address: 0000003c, Read Data : 000007ff
